,common_use,usps_abbr,pattern,combined,abbr_type
380,ARCHIVE,ARCHV,archive,"('archive', 'archv')",business
381,ARCHL,ARCHL,archl,"('archl', 'archl')",business
382,ARCHRY,ARCHRY,archry,"('archry', 'archry')",business
383,ARCHS,ABP,archs,"('archs', 'abp')",business
384,ARCHT,ARCHT,archt,"('archt', 'archt')",business
385,ARCHTCT,ARCHT,archtct,"('archtct', 'archt')",business
386,ARCHV,ARCHV,archv,"('archv', 'archv')",business
387,ARCNDTNG,AID,arcndtng,"('arcndtng', 'aid')",business
388,ARCRFT,ARCRFT,arcrft,"('arcrft', 'arcrft')",business
389,ARENA,ARN,arena,"('arena', 'arn')",business
390,ARISTOCAT,ARSTCRT,aristocat,"('aristocat', 'arstcrt')",business
391,ARISTOCRAT,ARSTCRT,aristocrat,"('aristocrat', 'arstcrt')",business
392,ARL,ARL,arl,"('arl', 'arl')",business
393,ARLN,ARLN,arln,"('arln', 'arln')",business
394,ARMADILLO,ARMDLL,armadillo,"('armadillo', 'armdll')",business
395,ARMATURE,ARMTR,armature,"('armature', 'armtr')",business
396,ARMD,ARMD,armd,"('armd', 'armd')",business
397,ARMDLL,ARMDLL,armdll,"('armdll', 'armdll')",business
398,ARMED,ARMD,armed,"('armed', 'armd')",business
399,ARMN,ARMN,armn,"('armn', 'armn')",business
400,ARMORED,ARMRD,armored,"('armored', 'armrd')",business
401,ARMORY,ARMRY,armory,"('armory', 'armry')",business
402,ARMRD,ARMRD,armrd,"('armrd', 'armrd')",business
403,ARMRY,ARMRY,armry,"('armry', 'armry')",business
404,ARMTR,ARMTR,armtr,"('armtr', 'armtr')",business
