Address	Zip	Lat.	Long.
1	bmtnrwcanal st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrwcortlandt st, Manhattan, NY	None	40.790278	-73.959722
1	bmtnrwcortlandt st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrwprince st, Manhattan, NY	None	40.790278	-73.959722
1	bmtnrwprince st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrwrector st, Manhattan, NY	None	40.790278	-73.959722
1	bmtnrwrector st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtnrwwhitehall st, Manhattan, NY	None	40.790278	-73.959722
1	bmtnrwwhitehall st, Manhattan, NY	None	40.7830603	-73.9712488
0	bobby oshea way, Manhattan, NY	None	40.790278	-73.959722
1	bobby oshea way, Manhattan, NY	None	40.7830603	-73.9712488
--	bolton rd, Manhattan, NY	10462	40.854367	-73.868701
0	borough boundary, Manhattan, NY	None	40.790278	-73.959722
1	borough boundary, Manhattan, NY	None	40.7830603	-73.9712488
0	bradhurst urban renewal park, Manhattan, NY	None	40.790278	-73.959722
1	bradhurst urban renewal park, Manhattan, NY	None	40.7830603	-73.9712488
--	brandon romero plz, Manhattan, NY	None	40.7384018	-73.9732231
0	brian p monaghan way, Manhattan, NY	None	40.790278	-73.959722
1	brian p monaghan way, Manhattan, NY	None	40.7830603	-73.9712488
0	bridle path, Manhattan, NY	None	40.6598608	-73.9747034
1	bridle path, Manhattan, NY	07024	40.835137	-73.9777775
--	broadway aly, Manhattan, NY	10016	40.741242	-73.9820175
--	broadway atrium, Manhattan, NY	10019	40.7615062	-73.9775851
--	bronx shore rd, Manhattan, NY	10035	40.7991641	-73.9217056
0	brooklyn bridge entrance ramp, Manhattan, NY	10035	40.796139	-73.91951
1	brooklyn bridge entrance ramp, Manhattan, NY	10128	40.7789538	-73.9439246
0	brooklyn bridge exit ramp, Manhattan, NY	10035	40.796139	-73.91951
1	brooklyn bridge exit ramp, Manhattan, NY	10128	40.7789538	-73.9439246
0	brooklyn waterfront greenway, Manhattan, NY	None	40.790278	-73.959722
1	brooklyn waterfront greenway, Manhattan, NY	None	40.7830603	-73.9712488
--	brunn st, Manhattan, NY	10035	40.7908154	-73.917886
0	bryant park bid, Manhattan, NY	None	40.790278	-73.959722
1	bryant park bid, Manhattan, NY	None	40.7830603	-73.9712488
0	c o m wallace corner, Manhattan, NY	None	40.790278	-73.959722
1	c o m wallace corner, Manhattan, NY	None	40.7830603	-73.9712488
0	c o thomas jurgens corner, Manhattan, NY	None	40.790278	-73.959722
1	c o thomas jurgens corner, Manhattan, NY	None	40.7830603	-73.9712488
--	c p 6 ave approach, Manhattan, NY	None	40.7631283	-73.9803015
0	c p 7 ave approach, Manhattan, NY	10011	40.740353	-73.998489
1	c p 7 ave approach, Manhattan, NY	10009	40.731155	-73.9744668
2	c p 7 ave approach, Manhattan, NY	10280	40.708455	-74.017185
3	c p 7 ave approach, Manhattan, NY	10282	40.715733	-74.015038
4	c p 7 ave approach, Manhattan, NY	10282	40.717417	-74.013937
5	c p 7 ave approach, Manhattan, NY	10280	40.708947	-74.017136
6	c p 7 ave approach, Manhattan, NY	10280	40.7072717	-74.0173578
7	c p 7 ave approach, Manhattan, NY	10006	40.710754	-74.016002
--	c p 8 ave approach, Manhattan, NY	10003	40.7285778	-73.9876805
0	c p e 60 approach, Manhattan, NY	None	40.7638277	-73.970327
1	c p e 60 approach, Manhattan, NY	10025	40.796413	-73.962741
2	c p e 60 approach, Manhattan, NY	11201	40.7003636	-73.986915
3	c p e 60 approach, Manhattan, NY	11206	40.70361	-73.9443167
4	c p e 60 approach, Manhattan, NY	11235	40.5881827	-73.9652096
5	c p e 60 approach, Manhattan, NY	None	40.7710654	-73.9871619
6	c p e 60 approach, Manhattan, NY	10307	40.5071642	-74.2434429
0	c p e 72 approach, Manhattan, NY	10021	40.7697512	-73.9605925
1	c p e 72 approach, Manhattan, NY	10025	40.796914	-73.9627294
2	c p e 72 approach, Manhattan, NY	11206	40.704696	-73.944251
3	c p e 72 approach, Manhattan, NY	11235	40.5882504	-73.9646367
4	c p e 72 approach, Manhattan, NY	10023	40.7787927	-73.9820623
5	c p e 72 approach, Manhattan, NY	11201	40.700053	-73.9867422
6	c p e 72 approach, Manhattan, NY	10307	40.5071642	-74.2434429
0	c p w 67 approach, Manhattan, NY	10025	40.7966165	-73.9629876
