,Unnamed: 0,boro,stname,numeric_ind,GFT,len_full_name,num_of_progens,progen_word_1,progen_gft_1,progen_b10sc_1,progen_word_2,progen_gft_2,progen_b10sc_2,clean_name
904,904,2, 202 STREET                     ,N,S,16,1,E, ,22769001010, , ,           ,202 st
905,905,2, 203 STREET                     ,N,S,16,1,E, ,22772001010, , ,           ,203 st
906,906,2, 204 ST BRIDGE                  ,N,S,19,1,E,B,29810010090, , ,           ,204 st bridge
907,907,2, 204 ST EASTBOUND ROADBED       ,N,S,30,1,E, ,22775003020, , ,           ,204 st eastbound roadbed
908,908,2, 204 ST FOOT BRIDGE             ,N,S,24,1,E,B,29810010070, , ,           ,204 st foot bridge
909,909,2, 204 ST FOOTBRIDGE              ,N,S,23,1,E,B,29810010010, , ,           ,204 st footbridge
910,910,2, 204 ST PEDESTRIAN BRIDGE       ,N,S,30,1,E,B,29810010050, , ,           ,204 st pedestrian bridge
911,911,2, 204 ST PEDESTRIAN OVERPASS     ,N,S,32,1,E,B,29810010030, , ,           ,204 st pedestrian overpass
912,912,2, 204 ST WESTBOUND ROADBED       ,N,S,30,1,E, ,22775002020, , ,           ,204 st westbound roadbed
913,913,2, 204 STREET                     ,N,S,16,1,E, ,22775001010, , ,           ,204 st
914,914,2, 204 STREET BRIDGE              ,N,S,23,1,E,B,29810010100, , ,           ,204 street bridge
915,915,2, 204 STREET EB ROADBED          ,N,S,27,1,E, ,22775003010, , ,           ,204 street eb roadbed
916,916,2, 204 STREET FOOT BRIDGE         ,N,S,28,1,E,B,29810010080, , ,           ,204 street foot bridge
917,917,2, 204 STREET FOOTBRIDGE          ,N,S,27,1,E,B,29810010020, , ,           ,204 street footbridge
918,918,2, 204 STREET PEDESTRIAN BRDG     ,N,S,32,1,E,B,29810010060, , ,           ,204 street pedestrian brdg
919,919,2, 204 STREET PEDESTRIAN OVPS     ,N,S,32,1,E,B,29810010040, , ,           ,204 street pedestrian ovps
920,920,2, 204 STREET WB ROADBED          ,N,S,27,1,E, ,22775002010, , ,           ,204 street wb roadbed
921,921,2, 205 STREET                     ,N,S,16,2,E, ,22778001010,W, ,27488001010,205 st
922,922,2, 206 STREET                     ,N,S,16,1,E, ,22781001010, , ,           ,206 st
923,923,2, 207 STREET                     ,N,S,16,1,E, ,22784001010, , ,           ,207 st
924,924,2, 208 STREET                     ,N,S,16,1,E, ,22787001010, , ,           ,208 st
925,925,2, 209 STREET                     ,N,S,16,1,E, ,22790001010, , ,           ,209 st
926,926,2, 210 STREET                     ,N,S,16,1,E, ,22793001010, , ,           ,210 st
927,927,2, 211 STREET                     ,N,S,16,1,E, ,22796001010, , ,           ,211 st
